Dates,SP1 Index,GX1 Index,Z1 Index,NK1 Index,SP1 Index_position,GX1 Index_position,Z1 Index_position,NK1 Index_position,Risk_Index,SP1 Index_returns,GX1 Index_returns,Z1 Index_returns,NK1 Index_returns,SP1 Index_strat,GX1 Index_strat,Z1 Index_strat,NK1 Index_strat,Total
1991-03-04,369.65,995.77098,4532.635,193.13906,0.0,0.0,0.0,0.0,2.00701997620038,-0.0043097643097643745,0.008562507685601073,-0.00103875651421248,0.00142042280223742,-0.0,0.0,-0.0,0.0,0.0
1991-03-05,377.35,1011.73403,4599.99,193.36731,0.0,0.0,0.0,0.0,1.7919386009870675,0.020830515352360468,0.01603084476312011,0.014860009685315312,0.0011817909852103181,0.0,0.0,0.0,0.0,0.0
1991-03-06,376.6,1038.27441,4681.224,194.56881,0.0,0.0,0.0,0.0,1.776541528117944,-0.0019875447197561513,0.026232566280290026,0.01765960360783403,0.006213563192247973,-0.0,0.0,0.0,0.0,0.0
1991-03-07,375.65,1023.58643,4604.28,194.47717,0.0,0.0,0.0,0.0,2.0271324062191316,-0.0025225703664366605,-0.014146529913994565,-0.016436726804784474,-0.0004709901859399901,-0.0,-0.0,-0.0,-0.0,-0.0
1991-03-08,375.35,1030.4,4582.305,198.75229,0.0,0.0,0.0,0.0,1.9738236014737285,-0.0007986157327297683,0.006656565386471636,-0.004772733196069634,0.021982631688850507,-0.0,0.0,-0.0,0.0,0.0
1991-03-11,373.5,992.72152,4549.15,197.61043,0.0,0.0,0.0,0.0,2.1081978632548912,-0.004928733182363199,-0.03656684782608699,-0.007235441551795563,-0.005745141351578775,-0.0,-0.0,-0.0,-0.0,-0.0
1991-03-12,370.85,1004.70858,4568.822,199.85326,0.0,0.0,0.0,0.0,1.8818081470926673,-0.007095046854082909,0.012074947262148639,0.004324324324324502,0.01134975517233583,-0.0,0.0,0.0,0.0,0.0
1991-03-13,375.8,982.69194,4538.05,198.02053,0.0,0.0,0.0,0.0,2.0350773347898468,0.013347714709451175,-0.021913458726509516,-0.00673521533559418,-0.009170378306563531,0.0,-0.0,-0.0,-0.0,0.0
1991-03-14,373.6,1003.79987,4631.852,200.07356,0.0,0.0,0.0,0.0,1.7776081662950878,-0.0058541777541245565,0.02147970197048732,0.020670111611815534,0.010367763382917783,-0.0,0.0,0.0,0.0,0.0
1991-03-15,375.55,992.9965,4543.4925,201.23907,0.0,0.0,0.0,0.0,2.0703936405332053,0.00521948608137035,-0.010762473997929622,-0.01907649467210948,0.005825407415152695,0.0,-0.0,-0.0,0.0,0.0
1991-03-18,376.0,962.64544,4460.4345,201.15816,0.0,0.0,0.0,0.0,2.0589082870967226,0.001198242577552966,-0.030565122837794445,-0.018280650842936397,-0.00040205910313528825,0.0,-0.0,-0.0,-0.0,0.0
1991-03-19,370.0,937.12213,4345.892,200.86862,0.0,0.0,0.0,0.0,2.2293309968165027,-0.015957446808510634,-0.02651371828032556,-0.02567967313498276,-0.0014393649255889374,-0.0,-0.0,-0.0,-0.0,-0.0
1991-03-20,371.4,932.40376,4359.548,197.114,0.0,0.0,0.0,0.0,2.098465345398681,0.003783783783783745,-0.005034957396641504,0.0031422778108614047,-0.01869191912604362,0.0,-0.0,0.0,-0.0,0.0
